name,fraction,n_train,params,params_with_decoder,seeds,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,test_f1_mean,test_f1_std,val_auc_mean,val_auc_std,train_time_s_mean,train_time_s_std,train_steps_per_s_mean,train_steps_per_s_std,inference_img_per_s_mean,inference_img_per_s_std,peak_gpu_mem_mb_mean,peak_gpu_mem_mb_std
capsnet-no-routing,1.0,144000,3388736,3713715,3,0.9756952291666666,0.0004889780571401755,0.92475,0.0005728219618694563,0.9146666666666666,0.0053986881122485,0.9348333333333333,0.005778912815861971,0.9239826163175935,0.0005951191219209508,0.975950625,0.0003294066324351073,73.29903243329318,7.2917813405876215,109.90963429197537,11.576648598431024,80578.70363435296,5926.758121683432,4687.571126302083,0.47324236214997273
matched_cnn,0.01,1440,3389057,3389057,3,0.8717744374999999,0.009146553520411759,0.7588750000000001,0.03399172693465278,0.8426666666666667,0.12451940946428122,0.6750833333333333,0.19147867592328216,0.7773275507304107,0.00548279281557303,0.8714065,0.007732449796820685,51.737616799990064,0.5682225564436449,154.63873714360736,1.6887589181633553,91724.92947768186,5850.48472687346,1015.33642578125,200.6684039376417
matched_cnn,0.1,14400,3389057,3389057,3,0.9609959374999999,0.0010800222219935595,0.9029583333333333,0.0031233328886517346,0.9050833333333334,0.008976822006330152,0.9008333333333334,0.0047324236215002275,0.9031518143110753,0.0035796497842408774,0.9612451458333333,0.001231846581885046,50.77482873338158,0.05619866763696298,157.55851332310743,0.17427816221001263,95773.51580909733,1745.1840032117832,1241.5791015625,0.0
matched_cnn,0.2,28800,3389057,3389057,3,0.97912915625,0.0003516738587522455,0.9304166666666666,0.0012583057392117597,0.9285833333333334,0.004289036410819235,0.9322500000000001,0.0037831864876054036,0.9302874899642877,0.0013405757413789661,0.97802446875,0.0008000320116886144,44.2987083333428,0.639192787782614,180.61709312632524,2.590642892748382,98697.98762035341,29.582067391328064,1621.68896484375,0.0
matched_cnn,0.3,43200,3389057,3389057,3,0.9819686354166667,0.0004400843328864132,0.9350833333333334,0.0016072751268321921,0.9353333333333333,0.0016645820296198308,0.9348333333333333,0.0015877132402714643,0.9350995141332108,0.0016094005358815743,0.9820130416666667,0.00046572559770404273,43.927035533313756,0.008734961079030176,182.1201934922153,0.03621078259206139,98753.68162842879,34.11175466533735,2001.798828125,0.0
matched_cnn,1.0,144000,3389057,3389057,3,0.9843540937499999,0.0003116030769089272,0.9388333333333333,0.0009381941874331347,0.9399166666666666,0.004041451884327384,0.93775,0.005238081709939228,0.9389005177741732,0.0007841968173606264,0.9839916354166666,0.00020616071062836525,43.69427193334074,0.014840669078685797,183.09037458008092,0.062188498289477624,98115.3620549898,1023.4838243065957,4659.46923828125,0.0
simple_cnn,0.01,1440,60545,60545,3,0.9120056979166667,0.00562293019925697,0.827,0.0116913429510899,0.8763333333333333,0.034632294658791155,0.7776666666666667,0.05778534272056657,0.8352476854873078,0.004177843844637989,0.91296884375,0.004888051210825131,40.79785753331574,1.6542912869667143,196.3008012997005,7.846479069588881,107103.30153372324,3269.323722427745,1113.3743489583333,327.2093183328646
simple_cnn,0.1,14400,60545,60545,3,0.9505150104166665,0.0010243071311663479,0.8800833333333333,0.0012011279421166433,0.8820833333333334,0.0028867513459481155,0.8780833333333332,0.003467107343785805,0.88032260228527,0.0011578533851456338,0.9503865625,0.00229390103662302,40.111739466679865,0.2085530901111286,199.44644342347735,1.0340981757521899,117227.03206360347,1466.355985528667,1266.55859375,0.0
simple_cnn,0.2,28800,60545,60545,3,0.9523730729166666,0.0024054808418284067,0.882875,0.006170747523598783,0.8791666666666668,0.009268000503524642,0.8865833333333333,0.010492060490358052,0.8824382425113949,0.006155957590722362,0.9513715208333333,0.003158713309531218,39.809903866650224,1.6541627450085354,201.19091623860083,8.516841179131676,113487.73892232584,7063.271558450896,1646.66845703125,0.0
simple_cnn,0.3,43200,60545,60545,3,0.9523917083333334,0.0006815057979717929,0.88325,0.0024399026619929035,0.8772500000000001,0.003905124837953325,0.88925,0.008511022265274566,0.882551924994535,0.0017758735087084398,0.95270896875,0.0005115018967997428,33.952060533347925,0.1557068841264196,235.62964396532902,1.0783290307034095,119607.56691353174,231.0348678764083,2026.7783203125,0.0
simple_cnn,1.0,144000,60545,60545,3,0.9539157187499999,0.0006005930500087556,0.8850000000000001,0.0009437293044088574,0.88,0.010928746497197224,0.89,0.009072623655812016,0.8844080186080948,0.0021096896888868695,0.9544190208333333,0.0017314032463574926,33.74157163333439,0.08525587562289756,237.09725542502588,0.5986922178125567,119581.09413894365,209.53470217977045,4684.44873046875,0.0
