variant,model,fraction,seed,n_train,params,params_with_decoder,best_step,val_auc,test_auc,test_accuracy,test_sensitivity,test_specificity,test_f1,train_time_s,train_steps_per_s,inference_img_per_s,peak_gpu_mem_mb,name
,matched_cnn,0.2,2,28800,3389057,3389057,7800,0.9771480625000001,0.9788168125000001,0.92925,0.92925,0.92925,0.92925,43.78118400006497,182.72689929966555,98687.86262593172,1621.68896484375,matched_cnn
,matched_cnn,0.3,0,43200,3389057,3389057,8000,0.98147909375,0.9814605312500001,0.93325,0.9335,0.933,0.9332666833291677,43.922445699965465,182.1392199935326,98724.64216024334,2001.798828125,matched_cnn
,matched_cnn,0.3,1,43200,3389057,3389057,7600,0.9822245624999999,0.98222953125,0.93625,0.93675,0.93575,0.9362818590704648,43.93710859998828,182.07843563019836,98791.24791914018,2001.798828125,matched_cnn
,matched_cnn,0.3,2,43200,3389057,3389057,7800,0.9823354687500001,0.98221584375,0.93575,0.93575,0.93575,0.93575,43.921552299987525,182.14292485291492,98745.15480590281,2001.798828125,matched_cnn
,matched_cnn,1.0,0,144000,3389057,3389057,8000,0.9837623749999999,0.9841585937499999,0.939375,0.94225,0.9365,0.939548797208027,43.695320699960575,183.08596599926588,98694.23415427428,4659.46923828125,matched_cnn
,matched_cnn,1.0,1,144000,3389057,3389057,7800,0.9841617812499999,0.9847134375000001,0.939375,0.93525,0.9435,0.9391238860298732,43.708560400031274,183.03050768046518,98718.22609955342,4659.46923828125,matched_cnn
,matched_cnn,1.0,2,144000,3389057,3389057,7200,0.98405075,0.9841902499999999,0.93775,0.94225,0.93325,0.9380288700846192,43.67893470003037,183.1546500605116,96933.62591114173,4659.46923828125,matched_cnn
,simple_cnn,0.01,0,1440,60545,60545,1600,0.91141053125,0.9061316250000001,0.82025,0.88975,0.75075,0.8319308087891538,42.6266115999897,187.67618864648236,104622.07237854497,1491.203125,simple_cnn
,simple_cnn,0.01,1,1440,60545,60545,1800,0.9090499375,0.91254715625,0.82025,0.90225,0.73825,0.8338724584103511,40.36141730003874,198.2090951001446,110807.87715232921,924.4599609375,simple_cnn
,simple_cnn,0.01,2,1440,60545,60545,1400,0.9184460625,0.9173383125,0.8405,0.837,0.844,0.8399397892624184,39.40554369991878,203.0171201524746,105879.95507029552,924.4599609375,simple_cnn
,simple_cnn,0.1,0,14400,60545,60545,7000,0.9524432187500002,0.95139034375,0.879,0.88375,0.87425,0.8795720328439911,40.35065729993221,198.26194999835704,115644.09180991251,1266.55859375,simple_cnn
,simple_cnn,0.1,1,14400,60545,60545,7400,0.9479126875000001,0.94938846875,0.881375,0.88375,0.879,0.881656066841252,40.01841660006903,199.90795937653866,118539.00674492407,1266.55859375,simple_cnn
,simple_cnn,0.1,2,14400,60545,60545,7800,0.9508037812499999,0.9507662187499999,0.879875,0.87875,0.881,0.879739707170567,39.966144500038354,200.1694208955363,117497.99763597384,1266.55859375,simple_cnn
,simple_cnn,0.2,0,28800,60545,60545,7400,0.9521148437499999,0.9518800312500001,0.87925,0.88375,0.87475,0.8797909407665505,40.34599329995399,198.28486909526958,105847.59446275745,1646.66845703125,simple_cnn
,simple_cnn,0.2,1,28800,60545,60545,8000,0.9479074375000001,0.9502523125,0.879375,0.8685,0.89025,0.8780487804878049,41.12953369996103,194.50743250239134,114835.77765999951,1646.66845703125,simple_cnn
,simple_cnn,0.2,2,28800,60545,60545,7800,0.95409228125,0.9549868749999999,0.89,0.88525,0.89475,0.8894750062798292,37.95418460003566,210.78044711814158,119779.84464422056,1646.66845703125,simple_cnn
,simple_cnn,0.3,0,43200,60545,60545,7800,0.95320353125,0.95311146875,0.883375,0.87925,0.8875,0.8828919292079829,33.831272000068566,236.46760902113837,119396.27274705534,2026.7783203125,simple_cnn
,simple_cnn,0.3,1,43200,60545,60545,7600,0.9521820624999999,0.95230734375,0.885625,0.87275,0.8985,0.8841332151449918,34.127790100028506,234.4130685447845,119572.17077082682,2026.7783203125,simple_cnn
,simple_cnn,0.3,2,43200,60545,60545,7200,0.9527413125,0.9517563125000001,0.88075,0.87975,0.88175,0.8806306306306306,33.89711949994671,236.00825433006415,119854.25722271309,2026.7783203125,simple_cnn
,simple_cnn,1.0,0,144000,60545,60545,7200,0.9558819062499999,0.95460040625,0.884,0.86775,0.90025,0.8820838627700127,33.726429299946176,237.20269729273616,119752.2326278469,4684.44873046875,simple_cnn
,simple_cnn,1.0,1,144000,60545,60545,7000,0.9525074375,0.9534779062499998,0.885875,0.88875,0.883,0.8862021687648013,33.83338410007127,236.45284717419526,119347.40837066872,4684.44873046875,simple_cnn
,simple_cnn,1.0,2,144000,60545,60545,7800,0.95486771875,0.9536688437499999,0.885125,0.8835,0.88675,0.8849380242894704,33.66490149998572,237.63622180814622,119643.64141831534,4684.44873046875,simple_cnn
