model,variant,fraction,seed,perturbation,severity,auc,accuracy
capsnet,no-recon,1.0,2,rotation,15.0,0.9562379374999999,0.89325
capsnet,no-recon,1.0,2,rotation,30.0,0.955772875,0.890375
capsnet,no-recon,1.0,2,rotation,45.0,0.9549611250000001,0.89425
capsnet,no-recon,1.0,2,zoom,1.0,0.9723236249999999,0.917625
capsnet,no-recon,1.0,2,zoom,1.15,0.9435638125,0.8695
capsnet,no-recon,1.0,2,zoom,1.3,0.9175473125,0.816375
capsnet,no-recon,1.0,2,zoom,1.5,0.87029715625,0.740625
capsnet,no-recon,1.0,2,blur,0.0,0.9723236249999999,0.917625
capsnet,no-recon,1.0,2,blur,0.75,0.92545521875,0.856875
capsnet,no-recon,1.0,2,blur,1.5,0.8552017812499999,0.7025
capsnet,no-recon,1.0,2,blur,2.5,0.7972352500000001,0.655125
capsnet,no-recon,1.0,2,stain,0.0,0.9723236249999999,0.917625
capsnet,no-recon,1.0,2,stain,0.05,0.9382879375000001,0.862
capsnet,no-recon,1.0,2,stain,0.1,0.8958988125,0.806625
capsnet,no-recon,1.0,2,stain,0.2,0.7965867499999999,0.70625
capsnet,no-routing,1.0,0,rotation,0.0,0.97513225,0.924625
capsnet,no-routing,1.0,0,rotation,15.0,0.9606323749999999,0.8995
capsnet,no-routing,1.0,0,rotation,30.0,0.9595464374999999,0.899
capsnet,no-routing,1.0,0,rotation,45.0,0.958157875,0.895625
capsnet,no-routing,1.0,0,zoom,1.0,0.97513225,0.924625
capsnet,no-routing,1.0,0,zoom,1.15,0.9454288437499999,0.87575
capsnet,no-routing,1.0,0,zoom,1.3,0.9122730937499999,0.812875
capsnet,no-routing,1.0,0,zoom,1.5,0.8458841874999999,0.732
capsnet,no-routing,1.0,0,blur,0.0,0.97513225,0.924625
capsnet,no-routing,1.0,0,blur,0.75,0.9263105,0.863125
capsnet,no-routing,1.0,0,blur,1.5,0.85827909375,0.782125
capsnet,no-routing,1.0,0,blur,2.5,0.80195528125,0.719125
capsnet,no-routing,1.0,0,stain,0.0,0.97513225,0.924625
capsnet,no-routing,1.0,0,stain,0.05,0.9333623750000001,0.865625
capsnet,no-routing,1.0,0,stain,0.1,0.8800418749999999,0.8085
capsnet,no-routing,1.0,0,stain,0.2,0.7899442187499999,0.719625
capsnet,no-routing,1.0,1,rotation,0.0,0.9760212499999998,0.92425
capsnet,no-routing,1.0,1,rotation,15.0,0.9622350625,0.902875
capsnet,no-routing,1.0,1,rotation,30.0,0.9614882187499999,0.90075
capsnet,no-routing,1.0,1,rotation,45.0,0.95928303125,0.896875
capsnet,no-routing,1.0,1,zoom,1.0,0.9760212499999998,0.92425
capsnet,no-routing,1.0,1,zoom,1.15,0.9481655625000002,0.879
capsnet,no-routing,1.0,1,zoom,1.3,0.9112718125000001,0.811625
capsnet,no-routing,1.0,1,zoom,1.5,0.8290411562499999,0.728875
capsnet,no-routing,1.0,1,blur,0.0,0.9760212499999998,0.92425
capsnet,no-routing,1.0,1,blur,0.75,0.9284813749999999,0.852625
capsnet,no-routing,1.0,1,blur,1.5,0.8715239375000001,0.803625
capsnet,no-routing,1.0,1,blur,2.5,0.795972125,0.731
capsnet,no-routing,1.0,1,stain,0.0,0.9760212499999998,0.92425
capsnet,no-routing,1.0,1,stain,0.05,0.9417061875,0.874625
capsnet,no-routing,1.0,1,stain,0.1,0.8998134062500001,0.8275
capsnet,no-routing,1.0,1,stain,0.2,0.80605146875,0.73025
capsnet,no-routing,1.0,2,rotation,0.0,0.9759325625,0.925375
capsnet,no-routing,1.0,2,rotation,15.0,0.9619861875000002,0.89725
capsnet,no-routing,1.0,2,rotation,30.0,0.9614381249999999,0.895625
capsnet,no-routing,1.0,2,rotation,45.0,0.9597576250000001,0.896875
capsnet,no-routing,1.0,2,zoom,1.0,0.9759325625,0.925375
capsnet,no-routing,1.0,2,zoom,1.15,0.9494976874999999,0.880625
capsnet,no-routing,1.0,2,zoom,1.3,0.9201627812499998,0.822
capsnet,no-routing,1.0,2,zoom,1.5,0.8562681875,0.74325
capsnet,no-routing,1.0,2,blur,0.0,0.9759325625,0.925375
capsnet,no-routing,1.0,2,blur,0.75,0.9285663125000001,0.861375
capsnet,no-routing,1.0,2,blur,1.5,0.8849494375,0.789875
